My boyfriend is beating me up. What can I do?	NOT FOUND	It sounds like you are having legal issues regarding Abuse, Stalking, or Neglect. Is this correct?
My boyfriend is beating me up. What can I do?		It sounds like you are having legal issues regarding Abuse, Stalking, or Neglect. Is this correct?
My boyfriend is beating me up. What can I do?		It sounds like you are having legal issues regarding Abuse, Stalking, or Neglect. Is this correct?		it sounds like you are having legal issues regarding abuse, stalking, or neglect. is this correct?
My boyfriend is beating me up. What can I do?		It sounds like you are having legal issues regarding Abuse, Stalking, or Neglect. Is this correct?		it sounds like you are having legal issues regarding abuse, stalking, or neglect. is this correct?
My boyfriend is beating me up. What can I do?		It sounds like you are having legal issues regarding Abuse, Stalking, or Neglect. Is this correct?		it sounds like you are having legal issues regarding abuse, stalking, or neglect. is this correct?
My boyfriend is beating me up. What can I do?		It sounds like you are having legal issues regarding Abuse, Stalking, or Neglect. Is this correct?		it sounds like you are having legal issues regarding abuse, stalking, or neglect. is this correct?
My boyfriend is beating me up. What can I do?		It sounds like you are having legal issues regarding Abuse, Stalking, or Neglect. Is this correct?		it sounds like you are having legal issues regarding abuse, stalking, or neglect. is this correct?
How do I stop a stalker?		It sounds like you are having legal issues regarding Abuse, Stalking, or Neglect. Is this correct?		it sounds like you are having legal issues regarding abuse, stalking, or neglect. is this correct?
What legal help can I get to stop my wife from hitting our children?		It sounds like you are having legal issues regarding Abuse, Stalking, or Neglect. Is this correct?		it sounds like you are having legal issues regarding abuse, stalking, or neglect. is this correct?
My caretaker is not feeding me. What can I do?		Below this are a few links related to how Virginia's self-help resources can help you, and how you can qualify…		below this are a few links related to how virginia's self-help resources can help you, and how you can qualify…
My boyfriend is beating me up. What can I do?		It sounds like you are having legal issues regarding Abuse, Stalking, or Neglect. Is this correct?		it sounds like you are having legal issues regarding abuse, stalking, or neglect. is this correct?
My boyfriend is beating me up. What can I do?	ERROR: Something went wrong, please try again.	It sounds like you are having legal issues regarding Abuse, Stalking, or Neglect. Is this correct?	CHATBOT_ERROR	it sounds like you are having legal issues regarding abuse, stalking, or neglect. is this correct?
What legal help can I get to stop my wife from hitting our children?	ERROR: Something went wrong, please try again.	It sounds like you are having legal issues regarding Abuse, Stalking, or Neglect. Is this correct?	CHATBOT_ERROR	it sounds like you are having legal issues regarding abuse, stalking, or neglect. is this correct?
How do I stop a stalker?	ERROR: Something went wrong, please try again.	It sounds like you are having legal issues regarding Abuse, Stalking, or Neglect. Is this correct?	CHATBOT_ERROR	it sounds like you are having legal issues regarding abuse, stalking, or neglect. is this correct?
My caretaker is not feeding me. What can I do?	ERROR: Something went wrong, please try again.	Below this are a few links related to how Virginia's self-help resources can help you, and how you can qualify…	CHATBOT_ERROR	below this are a few links related to how virginia's self-help resources can help you, and how you can qualify…
My friend was stabbed by her boyfriend. What can she do?	ERROR: Something went wrong, please try again.	Anytime. That's what I'm here for.	CHATBOT_ERROR	anytime. that's what i'm here for.
